mass_A
t	x
1.631996667E1	1.189343866E1
1.649583333E1	1.312026383E1
1.665650000E1	1.415643230E1
1.681636667E1	1.297105746E1
1.699206667E1	1.185378512E1
1.715190000E1	1.100672611E1
1.732783333E1	7.918537990E0
1.748823333E1	7.099413020E0
1.766383333E1	4.845352935E0
1.782413333E1	1.060785375E0
1.798393333E1	-1.187849954E0
1.815996667E1	-5.783087692E0
1.832006667E1	-9.524579977E0
1.849586667E1	-1.401899253E1
1.865653333E1	-1.809141418E1
1.881606667E1	-2.326857896E1
1.899196667E1	-2.768114625E1
1.915203333E1	-3.266697120E1
1.932793333E1	-3.729450710E1
1.948856667E1	-4.210460538E1
1.964796667E1	-4.799529204E1
1.982390000E1	-5.257504928E1
1.998393333E1	-5.617723460E1
2.015990000E1	-5.995015778E1
2.031993333E1	-6.395754781E1
2.049596667E1	-8.751573214E1
2.065603333E1	-9.020917934E1
2.081600000E1	-9.358956064E1
2.099196667E1	-9.563314087E1
2.115200000E1	-9.712551791E1
2.132783333E1	-9.796031762E1
2.148833333E1	-9.842261161E1
2.164800000E1	-9.887019249E1
2.182396667E1	-9.839211136E1
2.198406667E1	-9.820750657E1
2.215996667E1	-9.790965425E1
2.231993333E1	-9.760022203E1
2.248003333E1	-9.683431856E1
2.265626667E1	-9.650080579E1
2.281613333E1	-9.530635920E1
2.299193333E1	-9.451959978E1
2.315200000E1	-9.252914339E1
2.331196667E1	-9.068775200E1
2.348836667E1	-8.845098290E1
2.364800000E1	-8.528814268E1
2.382393333E1	-8.185246540E1
2.398393333E1	-7.778287266E1
2.415990000E1	-7.607130141E1
2.431996667E1	-7.390981164E1
2.447993333E1	-5.397634380E1
2.465620000E1	-5.185649403E1
2.481600000E1	-5.001091132E1
2.499186667E1	-4.690306212E1
2.515196667E1	-4.489004656E1
2.531196667E1	-4.268979434E1
2.548780000E1	-4.040243515E1
2.564800000E1	-3.818794177E1
2.582393333E1	-3.605733279E1
2.598386667E1	-3.388169957E1
2.614450000E1	-3.069073656E1
2.632026667E1	-2.496918679E1
2.648013333E1	-1.607401421E1
2.665603333E1	-1.120763735E1
2.681606667E1	-7.907796551E0
2.699183333E1	-4.996533538E0
2.715203333E1	-2.155337183E0
2.731250000E1	9.642903832E-1
2.748803333E1	3.767707798E0
2.764813333E1	6.376194629E0
2.782383333E1	9.206805667E0
2.798403333E1	1.159378483E1
2.814390000E1	1.384016532E1
2.832030000E1	1.501939425E1
2.848003333E1	1.612114735E1
2.865613333E1	1.632115423E1
2.881606667E1	1.598188472E1
2.897596667E1	1.506711619E1
2.915206667E1	1.474594166E1
2.931196667E1	1.111285482E1
2.948840000E1	1.096297392E1
2.964786667E1	6.895996220E0
2.980800000E1	4.571489094E0
2.998413333E1	9.468969006E-1
3.014400000E1	-2.365346074E0
3.031986667E1	-6.884924466E0
3.047986667E1	-9.990670120E0
3.065580000E1	-1.507336894E1
3.081580000E1	-1.937490989E1
3.097586667E1	-2.516899304E1
3.115220000E1	-3.000391279E1
3.131196667E1	-3.528337565E1
3.148786667E1	-4.087865300E1
3.164800000E1	-4.722670647E1
3.180806667E1	-5.238964559E1
3.198403333E1	-5.659712866E1
3.214460000E1	-6.085170144E1
3.231996667E1	-8.429323283E1
3.248003333E1	-8.932171967E1
3.264013333E1	-9.251315692E1
3.281600000E1	-9.508468141E1
3.297596667E1	-9.657870246E1
3.315243333E1	-9.849837569E1
3.331196667E1	-9.893807911E1
3.347183333E1	-9.875423002E1
3.364803333E1	-9.860535468E1
3.380806667E1	-9.797420736E1
3.398400000E1	-9.780033755E1
3.414446667E1	-9.697855978E1
3.431983333E1	-9.632104338E1
3.447990000E1	-9.480025948E1
3.464006667E1	-9.338352959E1
3.481586667E1	-9.063677673E1
3.497586667E1	-8.811642590E1
3.515190000E1	-8.465981684E1
3.531193333E1	-7.962478462E1
3.547220000E1	-7.605445221E1
3.564803333E1	-7.386921042E1
