mass_A
t	x
3.047986667E1	-4.496964977E-2
3.065580000E1	-3.180382172E-2
3.081580000E1	-5.137219002E-2
3.097586667E1	3.624622836E-2
3.115220000E1	4.167215831E-2
3.131196667E1	3.677252253E-2
3.148786667E1	5.611346593E-2
3.164800000E1	2.365653783E-2
3.180806667E1	-1.203093800E-2
3.198403333E1	-8.777821177E-2
3.214460000E1	-1.097285084E-1
3.231996667E1	-1.074249575E-1
3.248003333E1	-8.235183707E-2
3.264013333E1	-2.535748927E-2
3.281600000E1	-1.136251323E-2
3.297596667E1	4.705536661E-2
3.315243333E1	2.504676714E-2
3.331196667E1	2.523562171E-2
3.347183333E1	3.976002506E-2
3.364803333E1	-2.106972769E-2
3.380806667E1	-5.561480290E-2
3.398400000E1	-3.490621627E-2
3.414446667E1	-8.778307085E-2
3.431983333E1	-1.702352619E-1
3.447990000E1	-6.848548815E-1
3.464006667E1	-4.285051046E-1
3.481586667E1	-1.531741681E-1
3.497586667E1	-6.597292905E-2
3.515190000E1	6.357502961E-2
3.531193333E1	9.420248081E-2
3.547220000E1	1.030164522E-1
3.564803333E1	8.893550278E-2
3.580790000E1	1.305096575E-2
3.598383333E1	4.723188621E-2
3.614386667E1	4.302290851E-2
3.630423333E1	3.589187816E-2
3.647983333E1	3.997175111E-2
3.663990000E1	1.193713592E-1
3.681593333E1	1.412889344E-1
3.697596667E1	1.565078503E-1
3.715193333E1	1.049192859E-1
3.731190000E1	7.973669189E-2
3.747196667E1	2.090763478E-2
3.764823333E1	2.209503952E-2
3.780800000E1	-7.238092633E-2
3.798380000E1	-1.205480531E-1
3.814383333E1	-1.019359347E-1
3.830390000E1	-6.358455621E-2
3.847983333E1	-4.943568750E-2
3.863990000E1	-3.319500967E-2
3.881593333E1	-1.874756365E-3
3.897603333E1	1.010802217E-1
3.913656667E1	1.161447943E-1
3.931203333E1	1.008030860E-1
3.947186667E1	3.488525692E-2
3.964793333E1	3.158531965E-2
3.980786667E1	1.659781691E-2
3.996790000E1	-4.422858691E-2
4.014390000E1	6.463796560E-3
4.030386667E1	1.352895214E-1
4.047983333E1	9.366175822E-2
4.063993333E1	8.509279860E-2
4.081586667E1	1.306969150E-1
4.097596667E1	1.268598468E-1
4.113620000E1	5.312191802E-2
4.131183333E1	3.391293156E-2
4.147210000E1	-2.035919764E-2
4.164786667E1	-7.490058484E-2
4.180790000E1	-1.466029185E-1
4.196803333E1	-2.379634910E-1
4.214433333E1	-1.558370025E-1
4.230393333E1	-2.004853197E-2
4.247990000E1	-1.336775865E-2
4.263986667E1	7.481119282E-2
4.280003333E1	-5.990700708E-2
4.297590000E1	-5.532916160E-2
4.313643333E1	-3.365832428E-2
4.331190000E1	-3.379749816E-2
4.347193333E1	3.722709293E-2
4.364790000E1	-2.315093647E-2
4.380786667E1	-2.494736311E-2
4.396796667E1	-4.372171123E-2
4.414383333E1	1.396854504E-2
4.430423333E1	3.466279881E-2
4.447993333E1	3.766247315E-2
4.463996667E1	3.754103529E-2
4.480000000E1	-3.962729140E-2
4.497590000E1	-2.388645792E-1
4.513616667E1	-2.085896349E-1
4.531190000E1	-6.170695396E-1
4.547183333E1	-7.270049330E-1
4.563196667E1	-1.694026643E-1
4.580793333E1	-7.019387706E-2
4.596813333E1	-2.306339777E-2
4.614400000E1	-2.040660133E-1
4.630406667E1	3.007699279E-2
4.646393333E1	1.116131851E-1
4.663986667E1	1.391727591E-1
4.679990000E1	1.141010012E-1
4.697586667E1	8.562229015E-2
4.713643333E1	7.896652409E-2
4.731200000E1	6.355451315E-2
4.747190000E1	6.692261539E-2
4.763206667E1	7.737896012E-2
4.780803333E1	8.929148419E-2
4.796803333E1	2.142489889E-2
4.814380000E1	-6.941105884E-2
4.830420000E1	-3.660687199E-4
4.846390000E1	-2.535972352E-2
4.864040000E1	-4.480870987E-2
4.880016667E1	-1.186345460E-1
4.897603333E1	-1.551810935E-1
4.913646667E1	-1.470816407E-1
